Nominal: 1rb | Sampel ke-1 | Lower: [2, 4, 42] | Upper: [175, 92, 224]
Nominal: 1rb | Sampel ke-2 | Lower: [4, 6, 33] | Upper: [173, 105, 230]
Nominal: 1rb | Sampel ke-3 | Lower: [3, 6, 99] | Upper: [173, 77, 221]
Nominal: 2rb | Sampel ke-1 | Lower: [8, 3, 36] | Upper: [170, 100, 230]
Nominal: 2rb | Sampel ke-2 | Lower: [6, 6, 43] | Upper: [170, 93, 223]
Nominal: 2rb | Sampel ke-3 | Lower: [3, 2, 82] | Upper: [170, 92, 225]
Nominal: 5rb | Sampel ke-1 | Lower: [1, 11, 62] | Upper: [178, 89, 218]
Nominal: 5rb | Sampel ke-2 | Lower: [1, 8, 73] | Upper: [176, 73, 218]
Nominal: 5rb | Sampel ke-3 | Lower: [0, 10, 85] | Upper: [178, 75, 207]
Nominal: 10rb | Sampel ke-1 | Lower: [19, 5, 53] | Upper: [166, 96, 212]
Nominal: 10rb | Sampel ke-2 | Lower: [11, 5, 54] | Upper: [165, 82, 223]
Nominal: 10rb | Sampel ke-3 | Lower: [4, 6, 93] | Upper: [174, 88, 203]
Nominal: 20rb | Sampel ke-1 | Lower: [24, 4, 69] | Upper: [170, 98, 242]
Nominal: 20rb | Sampel ke-2 | Lower: [0, 5, 83] | Upper: [178, 96, 243]
Nominal: 20rb | Sampel ke-3 | Lower: [3, 4, 93] | Upper: [175, 96, 234]
Nominal: 50rb | Sampel ke-1 | Lower: [5, 19, 45] | Upper: [129, 156, 223]
Nominal: 50rb | Sampel ke-2 | Lower: [4, 18, 47] | Upper: [167, 155, 232]
Nominal: 50rb | Sampel ke-3 | Lower: [6, 19, 43] | Upper: [150, 153, 207]
Nominal: 100rb | Sampel ke-1 | Lower: [0, 9, 93] | Upper: [179, 153, 248]
Nominal: 100rb | Sampel ke-2 | Lower: [0, 11, 70] | Upper: [179, 140, 221]
Nominal: 100rb | Sampel ke-3 | Lower: [0, 10, 64] | Upper: [179, 142, 232]
Nominal: 50rb | Sampel ke-1 | Lower: [0, 2, 89] | Upper: [168, 121, 237]
Nominal: 50rb | Sampel ke-2 | Lower: [0, 2, 78] | Upper: [176, 94, 237]
Nominal: 50rb | Sampel ke-3 | Lower: [1, 2, 103] | Upper: [173, 88, 237]
Nominal: 50rb | Sampel ke-4 | Lower: [0, 2, 76] | Upper: [173, 123, 237]
Nominal: 50rb | Sampel ke-5 | Lower: [1, 2, 77] | Upper: [171, 107, 237]
Nominal: 50rb | Sampel ke-6 | Lower: [9, 3, 98] | Upper: [135, 123, 178]
Nominal: 50rb | Sampel ke-7 | Lower: [5, 3, 107] | Upper: [150, 104, 164]
Nominal: 10rb | Sampel ke-1 | Lower: [2, 2, 107] | Upper: [171, 47, 237]
Nominal: 10rb | Sampel ke-2 | Lower: [3, 2, 59] | Upper: [173, 66, 237]
Nominal: 10rb | Sampel ke-3 | Lower: [0, 1, 94] | Upper: [170, 82, 237]
Nominal: 10rb | Sampel ke-4 | Lower: [14, 5, 93] | Upper: [170, 43, 169]
Nominal: 10rb | Sampel ke-5 | Lower: [5, 2, 108] | Upper: [173, 81, 237]
Nominal: 5rb | Sampel ke-1 | Lower: [0, 5, 52] | Upper: [173, 104, 184]
Nominal: 5rb | Sampel ke-2 | Lower: [0, 8, 92] | Upper: [178, 79, 170]
Nominal: 5rb | Sampel ke-3 | Lower: [2, 2, 102] | Upper: [173, 92, 237]
Nominal: 5rb | Sampel ke-4 | Lower: [0, 5, 100] | Upper: [177, 62, 187]
Nominal: 5rb | Sampel ke-5 | Lower: [0, 4, 57] | Upper: [175, 97, 142]
Nominal: 2rb | Sampel ke-1 | Lower: [13, 6, 84] | Upper: [160, 80, 165]
Nominal: 2rb | Sampel ke-2 | Lower: [13, 6, 82] | Upper: [158, 76, 162]
Nominal: 2rb | Sampel ke-3 | Lower: [83, 9, 63] | Upper: [163, 78, 141]
Nominal: 2rb | Sampel ke-4 | Lower: [90, 4, 63] | Upper: [163, 75, 184]
Nominal: 2rb | Sampel ke-5 | Lower: [10, 5, 69] | Upper: [146, 94, 207]
Nominal: 2rb | Sampel ke-6 | Lower: [8, 2, 75] | Upper: [158, 83, 237]
Nominal: 100rb | Sampel ke-1 | Lower: [27, 17, 79] | Upper: [159, 112, 198]
Nominal: 100rb | Sampel ke-2 | Lower: [29, 13, 90] | Upper: [163, 96, 201]
Nominal: 100rb | Sampel ke-3 | Lower: [24, 6, 87] | Upper: [167, 88, 190]
Nominal: 100rb | Sampel ke-4 | Lower: [25, 6, 84] | Upper: [170, 88, 192]
Nominal: 1rb | Sampel ke-1 | Lower: [0, 0, 75] | Upper: [160, 133, 182]
Nominal: 1rb | Sampel ke-2 | Lower: [0, 1, 57] | Upper: [170, 126, 192]
Nominal: 1rb | Sampel ke-3 | Lower: [5, 3, 78] | Upper: [160, 144, 188]
Nominal: 1rb | Sampel ke-4 | Lower: [0, 0, 37] | Upper: [170, 92, 191]
Nominal: 1rb | Sampel ke-5 | Lower: [0, 2, 63] | Upper: [150, 160, 183]
